Timestamp,  Q1. What best describes you?  ,Q2. Have you ever used drone services before?,Q3.  Would you consider using drone services?,Q4. What would you most likely use drone services for?,Q5.  What matters most when choosing a service?,  Q6.  How much would you be willing to pay for drone services? ,Q7.  What would make you choose a drone provider?,Q8. Any additional comments?
4/25/2026 11:05:09,Business owner,No,Yes,Social media content,"Price, Quality, Speed",£100–£200,"Good communication, Fair price and good delivery time ",
4/25/2026 13:35:53,Private Individual,No,Maybe,"Events (weddings, parties), Social media content","Price, Quality, Professionalism, Experience",£100–£200,,
4/25/2026 14:46:07,Private Individual,No,Yes,Social media content,Quality,£200–£500,Creativity and experience ,
4/25/2026 15:21:46,Private Individual,No,Maybe,"Events (weddings, parties), Social media content","Price, Quality, Speed, Professionalism, Experience",£200–£500,Authenticity,"Do not cut corners, and good luck."
4/25/2026 18:00:23,Private Individual,No,Yes,Construction / inspections,"Quality, Professionalism, Experience",£200–£500,"Expertise & Specialised skillsets, Regulatory Compliance & Safety, Equipment & Technology Access, Integration & Reliability.","Cliets look for case studies, flight logs, and verified reviews to ensure that the drone service provider can actually deliver on a project's key performance indicators (KPIs)."
4/25/2026 19:03:50,Business owner,Yes,Yes,Agriculture,Quality,£100–£200,Professionalism,Drone serviced will really enhancr productivity in agro developrmrnt in Africa
4/25/2026 20:29:54,Private Individual,No,Maybe,"Events (weddings, parties)",Price,£50–£100,Good price with professionalism and good quality,No
4/25/2026 20:38:19,Private Individual,No,Yes,Social media content,Professionalism,£100–£200,"For safety, proven experience, quality equipment and reliable service.","It should focus on demand trends, regulations, competition, pricing and emerging technology."
4/25/2026 21:25:39,Private Individual,No,Maybe,Social media content,"Price, Professionalism",£100–£200,Professionalism,Do not know mich about drone service.
4/25/2026 22:40:39,Business owner,No,Yes,"Real estate/property, Events (weddings, parties), Social media content, Construction / inspections","Price, Quality, Speed, Professionalism, Experience",£100–£200,"Provider's experience and portfolio, understanding of local laws and safety compliance, pricing, services offered, deliverables and timelines.","Well-packaged portfolio, robust marketing and entrepreneurial spirit will help drone services provider business to flourish. "
4/26/2026 3:29:19,Private Individual,No,Yes,"Events (weddings, parties)","Price, Quality, Speed, Professionalism, Experience",£100–£200,Expertise ,Wishing you good success!
4/26/2026 7:31:57,Private Individual,No,Maybe,"Events (weddings, parties), Construction / inspections","Price, Quality, Speed, Professionalism, Experience",£100–£200,"For the quality,experience and service. ",
4/26/2026 8:04:46,Private Individual,No,Maybe,Real estate/property,"Price, Quality",£200–£500,Feedback of previous projects and quality of work,Will use the service to put me ahead of competitors 
4/26/2026 8:32:18,Private Individual,No,Yes,"Events (weddings, parties)","Price, Quality, Experience",£100–£200,Good reviews on professionalism,
4/26/2026 13:01:55,Private Individual,No,Maybe,Construction / inspections,Quality,£200–£500,,
4/26/2026 14:12:46,Private Individual,No,Maybe,Construction / inspections,Quality,£50–£100,If there are heavy traffic on the highway and I need my goods to be deliver urgently ,
4/26/2026 15:54:08,Private Individual,Yes,Yes,"Events (weddings, parties), Construction / inspections","Price, Quality, Professionalism",£50–£100,Cost and outcome.,My considerations are tied to our local needs which may be different from what are required where you want to set up your business.
4/26/2026 16:42:17,Private Individual,No,Maybe,Construction / inspections,Quality,£200–£500,,
4/26/2026 21:12:12,Private Individual,No,Maybe,"Events (weddings, parties), Social media content","Price, Quality",£50–£100,,Experience 
4/27/2026 2:45:32,Private Individual,No,Maybe,"Events (weddings, parties)",Professionalism,£200–£500,Because i need someone with good experience to do it,None
